Goal,Legs,Chest,Arms,Back,Full Body,Lifts,Reps
1,0,1,1,0,1,Chest Press;Dumbbell Curl;Clean and Press;Pull-Ups;Lunges,5
1,0,1,1,0,1,Pec Deck;Hammer Curl;Burpees;Calf Raise;Row,5
0,1,1,1,0,0,Leg Curls;Pec Deck;Hammer Curl;Lat Pulldown;Burpees,14
1,0,1,0,1,1,Push-Ups;Pull-Ups;Clean and Press;Dumbbell Curl;Leg Curls,6
0,0,1,0,1,0,Chest Press;Lat Pulldown;Dumbbell Curl;Deadlift;Squat,13
0,0,1,0,0,1,Pec Deck;Burpees;Hammer Curl;Calf Raise;Lat Pulldown,10
0,0,0,1,0,1,Bicep Curl;Running;Calf Raise;Row;Chest Press,13
0,0,0,0,0,0,Row;Push-Ups;Clean and Press;Hammer Curl;Leg Press,14
1,1,0,1,1,0,Calf Raise;Hammer Curl;Cable Row;Push-Ups;Clean and Press,4
1,1,0,0,1,0,Lunges;Lat Pulldown;Pec Deck;Bicep Curl;Deadlift,4
1,0,1,0,0,0,Pec Deck;Lat Pulldown;Burpees;Calf Raise;Tricep Extension,4
1,1,0,1,1,1,Calf Raise;Dumbbell Curl;Cable Row;Deadlift;Push-Ups,5
0,0,1,1,1,1,Bench Press;Bicep Curl;Lat Pulldown;Clean and Press;Squat,8
1,0,0,0,0,1,Deadlift;Leg Curls;Pull-Ups;Pec Deck;Dumbbell Curl,4
0,0,1,0,0,1,Chest Press;Running;Squat;Lat Pulldown;Dumbbell Curl,14
1,0,0,0,1,0,Row;Calf Raise;Dumbbell Curl;Deadlift;Chest Press,5
0,1,1,0,1,0,Leg Curls;Pec Deck;Row;Clean and Press;Bicep Curl,14
1,1,0,0,1,1,Calf Raise;Pull-Ups;Burpees;Pec Deck;Dumbbell Curl,4
0,1,1,1,1,0,Squat;Pec Deck;Tricep Extension;Lat Pulldown;Clean and Press,8
0,0,1,1,0,1,Push-Ups;Tricep Extension;Clean and Press;Lat Pulldown;Squat,10
0,1,0,1,0,1,Leg Curls;Bicep Curl;Running;Row;Incline Press,11
0,1,1,1,0,1,Squat;Push-Ups;Dumbbell Curl;Burpees;Row,11
1,1,1,0,0,0,Lunges;Pec Deck;Hammer Curl;Cable Row;Running,6
1,1,0,1,0,0,Calf Raise;Bicep Curl;Burpees;Pull-Ups;Bench Press,5
0,1,1,1,0,0,Squat;Incline Press;Dumbbell Curl;Pull-Ups;Running,13
1,0,1,0,1,1,Push-Ups;Pull-Ups;Burpees;Hammer Curl;Leg Curls,4
1,0,0,1,0,1,Dumbbell Curl;Deadlift;Leg Press;Pull-Ups;Push-Ups,6
0,1,1,0,0,1,Lunges;Chest Press;Running;Row;Dumbbell Curl,10
1,1,1,1,1,0,Squat;Incline Press;Tricep Extension;Cable Row;Deadlift,6
1,1,1,0,0,0,Lunges;Pec Deck;Bicep Curl;Cable Row;Deadlift,5
1,1,1,1,0,1,Leg Press;Incline Press;Dumbbell Curl;Deadlift;Pull-Ups,5
1,1,1,0,1,1,Squat;Incline Press;Row;Deadlift;Tricep Extension,5
0,1,0,1,1,1,Calf Raise;Hammer Curl;Lat Pulldown;Deadlift;Bench Press,10
1,0,0,1,1,0,Bicep Curl;Cable Row;Lunges;Incline Press;Burpees,4
1,0,0,1,1,0,Bicep Curl;Lat Pulldown;Squat;Clean and Press;Incline Press,6
1,1,1,0,0,1,Leg Press;Push-Ups;Burpees;Hammer Curl;Row,6
1,1,0,1,1,0,Leg Curls;Hammer Curl;Lat Pulldown;Burpees;Pec Deck,4
0,0,0,1,0,1,Bicep Curl;Burpees;Leg Curls;Row;Chest Press,10
1,0,1,1,0,1,Incline Press;Dumbbell Curl;Running;Lunges;Lat Pulldown,6
0,0,0,0,1,0,Row;Bicep Curl;Incline Press;Deadlift;Calf Raise,10
1,1,1,1,0,0,Calf Raise;Push-Ups;Dumbbell Curl;Clean and Press;Lat Pulldown,6
1,1,1,1,1,0,Lunges;Bench Press;Dumbbell Curl;Lat Pulldown;Running,4
0,1,1,0,1,0,Leg Press;Chest Press;Lat Pulldown;Hammer Curl;Deadlift,11
1,0,0,0,1,0,Lat Pulldown;Leg Curls;Running;Pec Deck;Bicep Curl,5
0,0,0,0,1,1,Lat Pulldown;Deadlift;Bicep Curl;Calf Raise;Push-Ups,13
1,1,1,1,1,1,Squat;Incline Press;Tricep Extension;Cable Row;Running,5
1,1,1,1,0,1,Lunges;Incline Press;Bicep Curl;Deadlift;Row,5
1,1,1,1,0,0,Lunges;Pec Deck;Tricep Extension;Row;Running,4
1,1,0,0,0,1,Leg Press;Burpees;Pec Deck;Tricep Extension;Lat Pulldown,6
1,1,0,1,0,1,Leg Press;Hammer Curl;Burpees;Row;Chest Press,5
0,0,0,1,1,1,Hammer Curl;Lat Pulldown;Burpees;Chest Press;Leg Curls,8
0,0,0,0,0,0,Cable Row;Lunges;Clean and Press;Tricep Extension;Incline Press,9
1,0,1,1,0,0,Incline Press;Tricep Extension;Burpees;Calf Raise;Lat Pulldown,5
0,0,1,1,0,1,Incline Press;Bicep Curl;Clean and Press;Squat;Pull-Ups,10
0,1,0,1,1,1,Lunges;Hammer Curl;Pull-Ups;Burpees;Chest Press,14
1,1,0,1,0,0,Lunges;Tricep Extension;Row;Incline Press;Deadlift,5
1,1,1,0,0,0,Lunges;Chest Press;Tricep Extension;Lat Pulldown;Clean and Press,6
1,1,1,0,0,0,Calf Raise;Push-Ups;Hammer Curl;Pull-Ups;Burpees,4
0,1,0,0,0,0,Lunges;Hammer Curl;Clean and Press;Pec Deck;Lat Pulldown,14
1,0,0,0,0,1,Burpees;Tricep Extension;Bench Press;Cable Row;Leg Curls,6
1,1,1,1,1,1,Lunges;Bench Press;Hammer Curl;Row;Deadlift,6
0,0,0,0,0,1,Burpees;Row;Squat;Tricep Extension;Pec Deck,13
0,0,0,0,0,0,Running;Cable Row;Tricep Extension;Pec Deck;Squat,12
0,0,1,0,1,0,Chest Press;Lat Pulldown;Dumbbell Curl;Leg Press;Clean and Press,13
0,0,0,1,0,1,Dumbbell Curl;Deadlift;Cable Row;Push-Ups;Leg Press,14
1,1,0,0,0,1,Leg Press;Clean and Press;Cable Row;Tricep Extension;Bench Press,5
1,1,1,1,1,0,Calf Raise;Push-Ups;Tricep Extension;Row;Running,4
0,0,1,0,0,1,Incline Press;Burpees;Lat Pulldown;Leg Curls;Dumbbell Curl,14
0,0,0,1,0,1,Hammer Curl;Running;Row;Squat;Bench Press,8
1,1,0,0,1,1,Leg Press;Row;Deadlift;Bicep Curl;Chest Press,6
1,1,0,1,1,1,Squat;Tricep Extension;Cable Row;Deadlift;Incline Press,5
0,0,0,1,0,1,Bicep Curl;Deadlift;Row;Leg Curls;Incline Press,8
1,0,1,0,1,1,Bench Press;Row;Clean and Press;Squat;Hammer Curl,6
1,0,1,1,0,0,Chest Press;Tricep Extension;Deadlift;Squat;Pull-Ups,4
1,1,0,1,0,0,Leg Curls;Hammer Curl;Deadlift;Chest Press;Cable Row,4
0,1,0,1,0,1,Squat;Bicep Curl;Burpees;Bench Press;Row,14
0,1,0,0,0,0,Leg Curls;Incline Press;Running;Row;Hammer Curl,10
1,0,0,1,0,1,Tricep Extension;Burpees;Row;Chest Press;Calf Raise,6
0,1,0,0,1,1,Leg Curls;Pull-Ups;Running;Bench Press;Dumbbell Curl,14
0,1,0,0,1,1,Squat;Row;Clean and Press;Incline Press;Tricep Extension,13
1,0,0,0,0,1,Deadlift;Squat;Lat Pulldown;Tricep Extension;Bench Press,5
0,0,0,1,1,1,Dumbbell Curl;Cable Row;Burpees;Chest Press;Leg Curls,9
0,0,0,1,1,0,Tricep Extension;Lat Pulldown;Running;Push-Ups;Lunges,8
0,1,1,0,0,0,Leg Press;Bench Press;Cable Row;Deadlift;Hammer Curl,12
0,0,0,1,1,0,Dumbbell Curl;Row;Clean and Press;Bench Press;Squat,8
0,0,0,1,1,1,Hammer Curl;Row;Burpees;Chest Press;Squat,13
0,0,0,0,0,0,Dumbbell Curl;Row;Running;Chest Press;Squat,8
0,0,0,1,0,1,Bicep Curl;Burpees;Calf Raise;Row;Pec Deck,13
0,1,1,1,0,0,Lunges;Chest Press;Hammer Curl;Deadlift;Pull-Ups,14
1,1,0,1,0,1,Calf Raise;Dumbbell Curl;Deadlift;Pull-Ups;Pec Deck,5
0,0,1,0,0,0,Incline Press;Running;Pull-Ups;Bicep Curl;Lunges,13
0,0,0,0,0,1,Deadlift;Calf Raise;Bench Press;Pull-Ups;Tricep Extension,12
0,0,0,0,1,1,Row;Deadlift;Bicep Curl;Squat;Incline Press,12
0,0,0,1,1,1,Bicep Curl;Cable Row;Burpees;Leg Press;Bench Press,8
0,1,1,1,0,0,Leg Curls;Push-Ups;Tricep Extension;Running;Row,13
1,1,1,1,1,1,Lunges;Bench Press;Bicep Curl;Lat Pulldown;Burpees,6
0,1,1,1,1,1,Lunges;Bench Press;Hammer Curl;Pull-Ups;Deadlift,9
1,0,0,0,1,1,Cable Row;Burpees;Squat;Push-Ups;Bicep Curl,4
0,0,0,1,0,1,Hammer Curl;Burpees;Bench Press;Lat Pulldown;Leg Press,13
0,0,1,0,1,1,Push-Ups;Cable Row;Running;Hammer Curl;Leg Curls,10
1,1,1,1,1,0,Lunges;Push-Ups;Tricep Extension;Cable Row;Running,4
0,1,0,1,1,0,Calf Raise;Tricep Extension;Pull-Ups;Chest Press;Deadlift,9
1,0,1,1,1,0,Pec Deck;Tricep Extension;Lat Pulldown;Squat;Burpees,4
1,0,0,1,0,1,Bicep Curl;Deadlift;Incline Press;Lunges;Lat Pulldown,6
1,0,0,1,1,0,Tricep Extension;Row;Squat;Deadlift;Bench Press,4
1,1,0,1,1,0,Lunges;Dumbbell Curl;Pull-Ups;Deadlift;Pec Deck,5
1,1,1,0,1,1,Lunges;Push-Ups;Row;Burpees;Hammer Curl,5
0,1,0,0,1,0,Leg Curls;Pull-Ups;Pec Deck;Burpees;Hammer Curl,11
1,0,1,1,0,0,Pec Deck;Hammer Curl;Row;Running;Leg Curls,6
1,1,1,0,0,1,Calf Raise;Chest Press;Clean and Press;Lat Pulldown;Bicep Curl,6
0,1,0,0,1,0,Calf Raise;Pull-Ups;Incline Press;Tricep Extension;Deadlift,12
0,0,1,1,1,1,Push-Ups;Dumbbell Curl;Cable Row;Deadlift;Leg Curls,9
0,1,0,0,1,0,Leg Curls;Cable Row;Deadlift;Pec Deck;Hammer Curl,14
0,0,0,0,1,0,Pull-Ups;Deadlift;Squat;Bench Press;Tricep Extension,9
0,1,1,0,1,0,Lunges;Bench Press;Cable Row;Burpees;Tricep Extension,13
0,1,0,0,1,1,Leg Curls;Cable Row;Burpees;Chest Press;Hammer Curl,8
0,0,1,0,0,0,Incline Press;Burpees;Lunges;Bicep Curl;Cable Row,8
0,1,0,0,1,1,Lunges;Lat Pulldown;Running;Push-Ups;Bicep Curl,13
1,1,0,1,1,0,Lunges;Dumbbell Curl;Cable Row;Bench Press;Burpees,5
1,1,1,0,0,0,Lunges;Chest Press;Deadlift;Pull-Ups;Bicep Curl,6
1,1,0,0,0,0,Leg Curls;Bench Press;Row;Hammer Curl;Running,6
1,0,1,1,0,1,Pec Deck;Dumbbell Curl;Clean and Press;Leg Press;Row,4
1,1,0,0,0,0,Lunges;Chest Press;Bicep Curl;Burpees;Cable Row,4
0,0,0,1,0,1,Bicep Curl;Deadlift;Row;Push-Ups;Calf Raise,9
0,1,1,1,1,1,Squat;Incline Press;Hammer Curl;Row;Running,13
0,1,0,0,1,0,Squat;Lat Pulldown;Incline Press;Clean and Press;Dumbbell Curl,12
0,1,0,0,1,1,Leg Curls;Cable Row;Clean and Press;Chest Press;Tricep Extension,10
0,0,0,0,0,1,Running;Pull-Ups;Squat;Hammer Curl;Incline Press,9
1,1,0,1,1,1,Squat;Dumbbell Curl;Lat Pulldown;Burpees;Bench Press,5
0,1,1,1,0,1,Leg Curls;Chest Press;Bicep Curl;Deadlift;Lat Pulldown,8
0,1,1,0,1,1,Squat;Pec Deck;Lat Pulldown;Burpees;Dumbbell Curl,9
0,0,1,1,1,1,Chest Press;Bicep Curl;Cable Row;Deadlift;Leg Press,14
0,1,0,1,1,0,Calf Raise;Bicep Curl;Cable Row;Running;Push-Ups,11
0,0,1,0,0,0,Chest Press;Hammer Curl;Pull-Ups;Lunges;Burpees,8
0,0,0,0,0,0,Pull-Ups;Leg Press;Dumbbell Curl;Clean and Press;Pec Deck,14
0,0,0,0,1,1,Row;Deadlift;Dumbbell Curl;Pec Deck;Leg Curls,10
0,0,0,1,1,0,Bicep Curl;Row;Running;Pec Deck;Leg Curls,13
0,1,1,0,0,0,Lunges;Chest Press;Dumbbell Curl;Burpees;Cable Row,13
0,0,0,0,1,0,Cable Row;Chest Press;Calf Raise;Tricep Extension;Burpees,11
0,0,1,1,0,1,Chest Press;Dumbbell Curl;Running;Calf Raise;Row,14
1,0,0,1,0,0,Tricep Extension;Cable Row;Leg Curls;Push-Ups;Clean and Press,6
1,0,0,1,0,1,Dumbbell Curl;Running;Row;Calf Raise;Incline Press,6
1,1,0,0,1,1,Leg Press;Cable Row;Burpees;Bicep Curl;Pec Deck,5
1,0,0,0,0,0,Pull-Ups;Chest Press;Tricep Extension;Deadlift;Calf Raise,6
1,1,1,0,0,0,Squat;Incline Press;Row;Clean and Press;Dumbbell Curl,5
1,1,0,1,0,1,Leg Curls;Bicep Curl;Running;Pull-Ups;Bench Press,4
1,1,0,1,1,0,Leg Press;Bicep Curl;Row;Push-Ups;Burpees,5
0,1,1,0,1,1,Squat;Incline Press;Cable Row;Burpees;Dumbbell Curl,14
1,1,1,0,0,0,Squat;Incline Press;Pull-Ups;Burpees;Hammer Curl,4
1,1,0,1,1,1,Leg Press;Hammer Curl;Lat Pulldown;Burpees;Chest Press,5
1,0,1,1,0,1,Bench Press;Bicep Curl;Deadlift;Leg Press;Pull-Ups,6
1,0,1,1,0,1,Chest Press;Bicep Curl;Deadlift;Pull-Ups;Calf Raise,5
0,1,0,1,0,1,Calf Raise;Bicep Curl;Running;Pec Deck;Row,10
1,0,1,0,1,0,Chest Press;Lat Pulldown;Bicep Curl;Lunges;Running,5
1,1,1,0,1,0,Lunges;Incline Press;Pull-Ups;Dumbbell Curl;Clean and Press,4
0,0,0,1,0,1,Tricep Extension;Running;Leg Press;Push-Ups;Cable Row,11
0,1,0,1,1,0,Leg Curls;Hammer Curl;Lat Pulldown;Burpees;Bench Press,11
1,1,1,1,0,0,Lunges;Bench Press;Bicep Curl;Pull-Ups;Deadlift,5
0,1,0,0,1,0,Calf Raise;Cable Row;Clean and Press;Hammer Curl;Push-Ups,14
1,1,0,1,0,1,Leg Curls;Dumbbell Curl;Running;Cable Row;Pec Deck,4
1,1,1,0,1,0,Squat;Incline Press;Cable Row;Dumbbell Curl;Burpees,4
0,1,0,0,0,1,Leg Press;Clean and Press;Dumbbell Curl;Chest Press;Row,13
0,0,1,0,1,1,Incline Press;Row;Burpees;Squat;Dumbbell Curl,11
0,1,0,0,1,0,Calf Raise;Row;Incline Press;Hammer Curl;Clean and Press,14
1,1,1,0,1,1,Lunges;Incline Press;Pull-Ups;Burpees;Tricep Extension,4
1,1,1,0,0,0,Lunges;Incline Press;Bicep Curl;Burpees;Cable Row,6
1,0,0,0,1,1,Cable Row;Running;Hammer Curl;Calf Raise;Incline Press,5
0,0,0,1,0,0,Dumbbell Curl;Row;Deadlift;Leg Press;Pec Deck,12
0,1,0,0,1,1,Leg Press;Lat Pulldown;Clean and Press;Push-Ups;Dumbbell Curl,9
0,0,1,0,1,1,Incline Press;Row;Running;Leg Curls;Hammer Curl,12
0,1,1,0,1,1,Leg Curls;Push-Ups;Lat Pulldown;Burpees;Tricep Extension,12
1,0,1,0,1,0,Chest Press;Pull-Ups;Hammer Curl;Burpees;Lunges,6
1,1,0,1,0,1,Calf Raise;Hammer Curl;Burpees;Lat Pulldown;Push-Ups,4
1,0,0,0,1,1,Lat Pulldown;Deadlift;Hammer Curl;Push-Ups;Squat,5
1,0,1,0,0,0,Incline Press;Hammer Curl;Leg Press;Deadlift;Pull-Ups,5
1,1,0,0,0,1,Squat;Clean and Press;Hammer Curl;Row;Chest Press,4
1,0,0,0,0,1,Deadlift;Lunges;Pull-Ups;Hammer Curl;Bench Press,4
1,0,0,1,1,1,Dumbbell Curl;Pull-Ups;Running;Bench Press;Lunges,5
1,0,0,0,1,0,Pull-Ups;Lunges;Dumbbell Curl;Running;Incline Press,6
0,0,1,0,1,1,Incline Press;Lat Pulldown;Deadlift;Tricep Extension;Leg Press,11
1,1,1,0,1,0,Leg Press;Push-Ups;Cable Row;Running;Bicep Curl,6
1,1,0,0,0,0,Calf Raise;Lat Pulldown;Deadlift;Dumbbell Curl;Chest Press,5
1,0,0,1,1,0,Hammer Curl;Lat Pulldown;Running;Calf Raise;Push-Ups,4
1,1,1,0,1,0,Squat;Push-Ups;Lat Pulldown;Bicep Curl;Deadlift,5
0,1,0,1,1,0,Leg Curls;Dumbbell Curl;Cable Row;Deadlift;Bench Press,11
1,0,0,1,0,1,Dumbbell Curl;Burpees;Pull-Ups;Calf Raise;Push-Ups,5
0,1,0,0,0,0,Leg Press;Pull-Ups;Burpees;Push-Ups;Dumbbell Curl,9
0,0,1,1,1,1,Bench Press;Dumbbell Curl;Pull-Ups;Deadlift;Leg Curls,13
1,1,0,1,0,1,Leg Press;Bicep Curl;Clean and Press;Pull-Ups;Push-Ups,5
1,0,0,1,1,0,Hammer Curl;Row;Leg Curls;Bench Press;Burpees,5
0,1,1,1,0,1,Leg Curls;Incline Press;Bicep Curl;Clean and Press;Cable Row,10
1,1,1,1,1,1,Squat;Chest Press;Dumbbell Curl;Lat Pulldown;Burpees,5
0,1,1,1,0,1,Squat;Pec Deck;Hammer Curl;Deadlift;Lat Pulldown,12
0,0,1,1,0,0,Incline Press;Dumbbell Curl;Burpees;Leg Curls;Lat Pulldown,9
1,0,1,1,1,1,Bench Press;Tricep Extension;Cable Row;Burpees;Leg Curls,4
1,1,0,0,0,0,Leg Press;Hammer Curl;Burpees;Lat Pulldown;Push-Ups,5
1,1,1,0,0,1,Lunges;Bench Press;Clean and Press;Lat Pulldown;Hammer Curl,5
0,1,0,1,1,0,Lunges;Dumbbell Curl;Lat Pulldown;Chest Press;Burpees,11
1,1,1,1,0,1,Leg Curls;Chest Press;Dumbbell Curl;Clean and Press;Pull-Ups,5
0,1,1,1,0,1,Squat;Chest Press;Bicep Curl;Burpees;Lat Pulldown,12
1,1,0,1,0,1,Lunges;Bicep Curl;Running;Bench Press;Cable Row,4
0,1,0,1,0,1,Lunges;Bicep Curl;Clean and Press;Pull-Ups;Bench Press,10
0,1,1,1,0,0,Lunges;Pec Deck;Hammer Curl;Deadlift;Cable Row,12
0,1,0,1,1,0,Leg Press;Tricep Extension;Cable Row;Chest Press;Clean and Press,14
0,1,1,1,0,0,Squat;Chest Press;Tricep Extension;Cable Row;Running,9
1,1,1,0,1,0,Calf Raise;Push-Ups;Pull-Ups;Dumbbell Curl;Deadlift,5
0,0,0,0,0,1,Running;Leg Curls;Bench Press;Hammer Curl;Lat Pulldown,14
0,0,1,1,0,1,Incline Press;Tricep Extension;Running;Calf Raise;Row,8
1,0,0,0,1,0,Row;Pec Deck;Hammer Curl;Clean and Press;Leg Press,4
1,1,0,0,0,1,Leg Press;Running;Dumbbell Curl;Lat Pulldown;Pec Deck,4
1,0,0,0,1,0,Row;Chest Press;Running;Calf Raise;Bicep Curl,4
1,1,1,0,1,0,Leg Curls;Pec Deck;Cable Row;Bicep Curl;Running,5
0,1,1,1,1,1,Leg Press;Bench Press;Tricep Extension;Row;Clean and Press,11
0,0,0,0,0,1,Running;Lat Pulldown;Hammer Curl;Bench Press;Leg Curls,12
1,1,0,1,0,0,Calf Raise;Dumbbell Curl;Burpees;Push-Ups;Row,4
0,0,0,1,0,1,Hammer Curl;Burpees;Leg Curls;Bench Press;Lat Pulldown,11
0,0,1,0,1,0,Bench Press;Lat Pulldown;Burpees;Leg Curls;Hammer Curl,10
0,0,1,1,1,0,Bench Press;Hammer Curl;Lat Pulldown;Lunges;Clean and Press,12
0,0,0,0,1,1,Row;Clean and Press;Pec Deck;Bicep Curl;Leg Press,13
0,1,0,0,1,1,Leg Curls;Lat Pulldown;Deadlift;Bench Press;Dumbbell Curl,11
1,0,1,1,1,0,Incline Press;Bicep Curl;Pull-Ups;Lunges;Burpees,6
0,0,0,0,0,0,Pull-Ups;Calf Raise;Running;Chest Press;Hammer Curl,8
0,1,1,1,0,1,Calf Raise;Incline Press;Hammer Curl;Clean and Press;Cable Row,11
0,0,1,1,1,0,Incline Press;Tricep Extension;Lat Pulldown;Calf Raise;Clean and Press,9
1,1,1,1,0,1,Leg Press;Bench Press;Bicep Curl;Burpees;Pull-Ups,6
0,1,1,1,1,0,Lunges;Incline Press;Hammer Curl;Row;Running,9
1,0,1,0,0,0,Push-Ups;Running;Row;Bicep Curl;Squat,6
1,1,0,1,1,1,Lunges;Tricep Extension;Cable Row;Burpees;Push-Ups,5
1,1,1,0,1,1,Squat;Incline Press;Lat Pulldown;Deadlift;Tricep Extension,5
1,1,0,1,0,0,Squat;Hammer Curl;Burpees;Pec Deck;Pull-Ups,5
0,0,0,0,0,1,Burpees;Lat Pulldown;Leg Curls;Chest Press;Bicep Curl,8
1,0,1,1,0,1,Push-Ups;Bicep Curl;Deadlift;Cable Row;Squat,4
0,1,1,1,0,1,Leg Curls;Incline Press;Hammer Curl;Running;Lat Pulldown,11
0,1,1,1,1,0,Calf Raise;Bench Press;Tricep Extension;Cable Row;Deadlift,13
1,0,0,0,0,0,Burpees;Dumbbell Curl;Chest Press;Pull-Ups;Leg Curls,6
1,0,0,1,0,1,Bicep Curl;Clean and Press;Leg Press;Push-Ups;Cable Row,5
1,0,1,0,0,0,Bench Press;Tricep Extension;Lat Pulldown;Leg Curls;Running,5
0,0,1,1,1,0,Push-Ups;Tricep Extension;Cable Row;Leg Press;Clean and Press,14
1,0,1,0,0,0,Chest Press;Dumbbell Curl;Running;Cable Row;Squat,4
0,0,0,0,0,0,Clean and Press;Lat Pulldown;Dumbbell Curl;Pec Deck;Squat,9
0,1,0,0,0,1,Leg Curls;Deadlift;Chest Press;Tricep Extension;Cable Row,12
1,0,0,0,0,1,Clean and Press;Tricep Extension;Leg Press;Push-Ups;Cable Row,5
0,1,0,1,1,1,Calf Raise;Bicep Curl;Row;Burpees;Chest Press,14
1,1,1,1,1,1,Leg Curls;Bench Press;Tricep Extension;Row;Burpees,6
1,1,0,1,0,0,Lunges;Tricep Extension;Burpees;Chest Press;Cable Row,6
0,0,0,1,1,0,Dumbbell Curl;Cable Row;Pec Deck;Running;Leg Press,10
0,1,0,1,0,0,Lunges;Dumbbell Curl;Incline Press;Clean and Press;Lat Pulldown,9
1,1,1,1,1,0,Lunges;Incline Press;Dumbbell Curl;Lat Pulldown;Burpees,6
1,0,1,1,1,1,Pec Deck;Dumbbell Curl;Pull-Ups;Deadlift;Lunges,5
1,0,1,0,1,1,Chest Press;Cable Row;Running;Hammer Curl;Squat,6
1,1,0,0,1,1,Squat;Cable Row;Burpees;Incline Press;Tricep Extension,4
1,1,0,0,0,0,Squat;Bench Press;Lat Pulldown;Burpees;Dumbbell Curl,5
1,0,1,0,1,1,Push-Ups;Row;Deadlift;Leg Press;Tricep Extension,4
0,1,1,0,1,1,Leg Press;Incline Press;Cable Row;Burpees;Bicep Curl,11
0,0,1,1,0,1,Pec Deck;Tricep Extension;Running;Pull-Ups;Lunges,12
1,1,0,0,1,1,Squat;Lat Pulldown;Deadlift;Bench Press;Tricep Extension,6
1,0,0,1,0,1,Hammer Curl;Running;Bench Press;Lunges;Cable Row,5
0,1,1,0,1,1,Calf Raise;Bench Press;Lat Pulldown;Burpees;Tricep Extension,12
1,0,0,1,1,1,Hammer Curl;Row;Burpees;Bench Press;Lunges,4
0,0,1,0,0,0,Bench Press;Leg Press;Deadlift;Lat Pulldown;Bicep Curl,10
0,1,0,0,1,1,Calf Raise;Row;Running;Bench Press;Bicep Curl,13
0,1,0,1,0,0,Leg Press;Dumbbell Curl;Chest Press;Burpees;Pull-Ups,9
0,0,1,1,1,1,Push-Ups;Hammer Curl;Row;Burpees;Leg Press,10
0,1,1,0,1,1,Leg Curls;Incline Press;Pull-Ups;Running;Hammer Curl,11
1,1,1,0,1,0,Leg Curls;Chest Press;Pull-Ups;Clean and Press;Bicep Curl,5
1,0,0,0,1,0,Row;Bench Press;Dumbbell Curl;Deadlift;Leg Curls,6
0,0,1,0,1,0,Pec Deck;Pull-Ups;Burpees;Hammer Curl;Lunges,9
0,0,0,1,0,1,Hammer Curl;Burpees;Leg Curls;Lat Pulldown;Pec Deck,12
1,0,0,1,0,1,Dumbbell Curl;Running;Lunges;Pec Deck;Row,4
0,1,0,0,0,0,Leg Press;Tricep Extension;Running;Row;Bench Press,8
1,1,1,0,1,1,Leg Press;Bench Press;Pull-Ups;Running;Tricep Extension,6
0,1,0,0,0,0,Calf Raise;Dumbbell Curl;Bench Press;Deadlift;Cable Row,8
0,1,0,0,0,0,Lunges;Pec Deck;Pull-Ups;Running;Tricep Extension,8
0,1,0,0,0,0,Leg Press;Burpees;Hammer Curl;Chest Press;Lat Pulldown,9
0,1,0,1,1,1,Calf Raise;Bicep Curl;Row;Burpees;Incline Press,9
0,0,0,1,0,1,Dumbbell Curl;Burpees;Lunges;Cable Row;Pec Deck,8
0,1,1,0,1,1,Lunges;Pec Deck;Cable Row;Running;Tricep Extension,14
1,1,1,0,0,1,Squat;Push-Ups;Burpees;Cable Row;Tricep Extension,6
0,1,1,0,1,1,Leg Press;Bench Press;Row;Burpees;Dumbbell Curl,11
1,1,0,1,1,1,Leg Curls;Tricep Extension;Lat Pulldown;Running;Incline Press,6
0,1,1,0,0,1,Lunges;Pec Deck;Burpees;Lat Pulldown;Hammer Curl,12
1,1,1,0,0,0,Lunges;Chest Press;Dumbbell Curl;Cable Row;Running,5
1,1,1,0,0,0,Squat;Bench Press;Dumbbell Curl;Cable Row;Running,6
0,1,1,1,0,1,Leg Press;Push-Ups;Dumbbell Curl;Deadlift;Row,12
1,1,0,1,0,0,Leg Curls;Bicep Curl;Pull-Ups;Bench Press;Running,5
1,0,0,1,0,0,Dumbbell Curl;Leg Curls;Burpees;Bench Press;Cable Row,4
0,1,1,0,0,1,Squat;Incline Press;Clean and Press;Cable Row;Dumbbell Curl,11
0,0,0,1,0,0,Tricep Extension;Incline Press;Row;Burpees;Lunges,10
1,0,0,1,0,0,Dumbbell Curl;Calf Raise;Chest Press;Clean and Press;Lat Pulldown,6
1,0,0,1,1,0,Tricep Extension;Cable Row;Leg Curls;Push-Ups;Deadlift,5
0,1,1,1,0,1,Squat;Push-Ups;Bicep Curl;Deadlift;Row,10
0,0,0,1,0,1,Dumbbell Curl;Running;Bench Press;Cable Row;Calf Raise,12
1,0,1,0,0,0,Bench Press;Cable Row;Leg Curls;Bicep Curl;Running,5
0,1,0,1,0,0,Squat;Bicep Curl;Deadlift;Lat Pulldown;Incline Press,11
1,0,1,1,1,1,Incline Press;Hammer Curl;Lat Pulldown;Burpees;Squat,6
1,0,1,0,0,0,Incline Press;Deadlift;Squat;Cable Row;Bicep Curl,6
1,1,1,1,0,1,Calf Raise;Pec Deck;Hammer Curl;Running;Pull-Ups,4
0,0,1,1,1,1,Chest Press;Hammer Curl;Pull-Ups;Clean and Press;Leg Curls,13
0,1,0,1,1,1,Squat;Bicep Curl;Lat Pulldown;Burpees;Bench Press,13
0,1,1,1,0,0,Lunges;Chest Press;Bicep Curl;Row;Burpees,10
0,0,1,0,1,1,Chest Press;Lat Pulldown;Burpees;Bicep Curl;Leg Press,13
1,0,1,0,1,1,Pec Deck;Cable Row;Clean and Press;Squat;Tricep Extension,5
